=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
babylonjs,2025-06-12T14:00:03.087Z,90.0,24,178,72,100,129,129,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,28,169,0
2.0,28,165,0
3.1,30,186,0
4.0,29,174,0
5.0,28,168,0
6.1,28,188,0
7.1,27,175,0
8.1,27,166,0
9.0,28,187,0
10.0,28,175,0
11.1,26,166,0
12.1,23,181,0
13.0,23,165,0
14.1,23,180,0
15.1,23,165,0
16.1,20,178,65
17.0,18,188,73
18.1,17,173,73
19.1,15,184,81
20.0,15,168,83
21.1,17,182,81
22.1,21,168,81
23.0,23,184,81
24.0,24,169,81
25.1,25,185,75
26.1,25,169,70
27.0,26,187,69
28.1,29,178,69
29.1,27,167,69
30.1,25,183,69
31.1,24,166,69
32.1,23,181,69
33.1,23,169,69
34.1,23,185,69
35.1,25,169,69
36.1,23,182,68
37.1,21,182,69
38.1,19,193,70
39.1,20,175,70
40.0,22,191,66
41.1,21,177,65
42.0,19,188,69
43.1,18,173,69
44.1,17,184,69
45.1,17,196,69
46.1,18,176,69
47.1,18,188,69
48.1,18,171,69
49.1,17,182,69
50.1,17,193,69
51.1,18,173,69
52.1,18,183,69
53.1,18,194,69
54.1,18,173,69
55.1,17,183,69
56.1,17,193,69
57.1,17,171,69
58.0,16,180,69
59.1,16,191,69
60.0,16,166,69
61.1,20,181,69
62.0,27,167,69
63.0,31,188,69
64.1,35,177,69
65.0,35,166,69
66.0,32,184,70
67.0,32,172,70
68.0,35,160,70
69.1,34,181,70
70.1,34,169,70
71.1,29,183,69
72.1,24,167,69
73.1,20,178,75
74.1,19,189,76
75.1,19,171,76
76.1,20,184,76
77.1,20,164,76
78.1,20,176,76
79.1,18,186,76
80.1,17,186,76
81.1,17,164,76
82.1,17,177,76
83.1,18,190,76
84.1,17,169,76
85.1,17,182,76
86.1,21,163,76
87.1,24,182,76
88.0,25,173,76
89.1,23,190,76
