=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
babylonjs,2025-06-13T11:54:48.504Z,90.0,25,215,75,0,100,1277,1277,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.1,32,211,0
2.0,31,200,0
3.1,30,221,0
4.0,29,216,0
5.0,28,208,0
6.0,27,227,0
7.0,26,218,0
8.0,26,210,0
9.0,25,201,0
10.0,25,216,0
11.0,25,205,0
12.0,26,223,0
13.0,26,213,0
14.0,27,204,0
15.0,26,221,0
16.0,23,204,61
17.0,22,219,57
18.0,21,203,57
19.0,22,219,57
20.0,23,206,57
21.0,25,224,57
22.0,28,215,57
23.0,29,207,57
24.0,29,201,57
25.1,28,219,52
26.1,27,206,51
27.0,27,224,51
28.0,29,212,51
29.0,28,204,51
30.0,28,223,51
31.0,28,213,51
32.0,27,206,51
33.0,28,224,51
34.0,29,217,51
35.0,29,209,51
36.0,29,227,51
37.0,28,213,51
38.0,29,206,51
39.0,30,206,51
40.0,29,226,51
41.1,27,219,51
42.0,25,207,51
43.0,24,223,51
44.0,25,212,51
45.0,26,203,51
46.0,25,220,51
47.0,26,208,51
48.0,27,200,51
49.0,28,218,51
50.0,30,208,51
51.0,31,227,51
52.0,31,218,51
53.0,30,206,51
54.0,29,223,51
55.0,27,212,51
56.0,25,202,51
57.0,23,216,51
58.0,22,230,51
59.0,22,214,52
60.0,23,202,52
61.1,23,216,59
62.1,21,202,69
63.1,19,213,72
64.1,17,224,79
65.0,16,204,82
66.1,16,214,82
67.1,15,225,78
68.1,16,202,79
69.0,16,215,79
70.1,16,227,84
71.1,17,207,78
72.1,16,219,80
73.0,16,231,81
74.0,16,211,79
75.1,16,223,83
76.1,16,203,78
77.1,16,215,80
78.1,16,226,82
79.1,15,226,88
80.1,15,206,84
81.1,15,217,90
82.1,15,227,89
83.0,15,207,86
84.1,15,217,83
85.0,17,229,83
86.0,20,215,65
87.1,23,231,56
88.1,24,216,54
89.0,24,233,54
