=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
playcanvas,2025-06-12T14:01:45.708Z,90.0,37,149,59,100,210,210,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,49,164,0
2.0,49,150,0
3.0,48,139,0
4.0,48,154,0
5.0,44,169,0
6.0,49,143,0
7.0,48,161,0
8.0,46,151,0
9.0,42,162,0
10.0,37,143,0
11.1,32,144,0
12.1,28,143,0
13.0,25,140,0
14.0,25,163,0
15.0,24,158,0
16.0,22,151,0
17.0,22,151,0
18.1,26,147,0
19.0,26,140,55
20.0,29,153,52
21.0,47,159,53
22.0,48,134,53
23.0,42,139,53
24.0,43,145,53
25.0,45,152,50
26.1,38,157,49
27.0,37,136,51
28.0,39,141,51
29.0,37,147,51
30.1,36,151,51
31.0,36,156,51
32.0,36,135,51
33.0,39,141,51
34.0,37,145,51
35.0,36,150,51
36.1,34,154,50
37.0,32,158,53
38.0,32,136,53
39.0,37,141,53
40.0,34,144,52
41.0,29,148,62
42.0,28,152,68
43.0,31,156,68
44.0,34,136,68
45.1,35,141,68
46.1,36,146,68
47.0,36,146,68
48.0,38,151,68
49.0,37,158,68
50.0,34,139,68
51.0,33,153,68
52.0,31,168,68
53.0,31,150,68
54.1,32,163,68
55.0,29,144,68
56.1,28,157,68
57.1,26,139,68
58.1,22,130,76
59.1,21,138,78
60.1,22,148,78
61.0,29,132,70
62.0,39,158,67
63.0,53,142,67
64.0,52,159,67
65.0,48,144,56
66.0,47,159,56
67.0,53,145,56
68.0,52,162,56
69.1,50,147,56
70.0,43,162,47
71.1,34,143,47
72.1,28,153,47
73.1,26,140,47
74.0,24,154,48
75.0,24,146,48
76.0,25,165,48
77.1,26,151,48
78.0,24,168,48
79.1,23,144,48
80.1,22,159,48
81.0,24,140,48
82.0,25,151,48
83.0,25,136,48
84.1,24,148,48
85.0,23,137,48
86.0,31,162,48
87.1,40,162,48
88.0,37,135,48
89.0,42,144,48
