=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
playcanvas,2025-06-13T11:51:28.391Z,90.0,50,167,54,0,100,1505,1505,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,60,153,0
2.0,60,160,0
3.0,60,168,0
4.0,57,173,0
5.0,57,173,0
6.0,59,176,0
7.0,60,183,0
8.0,58,187,0
9.0,57,162,0
10.0,59,163,0
11.0,57,171,0
12.0,58,172,0
13.0,54,175,0
14.0,54,161,0
15.0,53,162,0
16.0,47,160,28
17.0,46,179,29
18.0,47,167,29
19.0,46,164,30
20.0,51,174,31
21.0,60,159,32
22.0,60,167,32
23.0,59,176,32
24.0,60,159,32
25.0,58,167,32
26.0,59,175,33
27.0,60,158,34
28.0,60,166,34
29.0,58,174,34
30.0,59,156,34
31.0,60,165,34
32.0,55,172,34
33.0,59,155,34
34.0,57,147,34
35.0,60,155,34
36.0,59,163,34
37.0,58,171,34
38.0,59,154,34
39.0,60,162,34
40.0,55,171,35
41.0,52,154,43
42.0,53,161,45
43.0,59,169,45
44.0,59,152,45
45.0,52,160,45
46.0,47,167,45
47.0,53,174,45
48.0,49,151,45
49.0,40,167,45
50.0,46,157,45
51.0,55,156,45
52.0,50,153,45
53.0,49,175,45
54.0,45,168,45
55.0,40,162,45
56.0,35,156,45
57.0,38,167,45
58.0,41,170,44
59.0,39,166,45
60.0,46,168,45
61.0,40,166,45
62.0,31,161,54
63.1,27,168,56
64.1,32,169,57
65.0,35,174,49
66.0,31,177,53
67.0,29,177,53
68.0,28,175,55
69.1,27,171,56
70.0,26,151,64
71.0,29,179,53
72.1,31,175,54
73.0,30,170,52
74.1,29,163,54
75.1,28,162,57
76.0,27,158,60
77.0,26,181,57
78.0,26,168,56
79.0,28,172,57
80.0,29,175,52
81.1,28,177,56
82.0,27,178,61
83.0,26,180,55
84.0,28,168,57
85.0,33,171,54
86.0,39,171,48
87.0,43,155,51
88.0,44,165,50
89.0,45,156,50
