=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
threejs,2025-06-12T14:10:11.969Z,90.0,53,101,40,100,246,246,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,54,98,0
2.0,51,98,0
3.0,55,101,0
4.0,49,102,0
5.0,50,100,0
6.0,51,102,0
7.0,47,98,0
8.0,45,95,0
9.0,50,104,0
10.0,52,100,0
11.0,55,105,0
12.0,52,102,0
13.0,59,95,0
14.0,56,94,0
15.0,53,106,0
16.0,44,95,32
17.0,42,95,31
18.0,44,101,31
19.0,44,101,30
20.0,43,105,30
21.0,49,94,30
22.0,54,94,30
23.0,56,98,30
24.0,55,101,30
25.0,52,97,31
26.0,49,106,30
27.0,54,106,30
28.0,54,94,30
29.0,55,103,30
30.0,56,96,30
31.0,52,101,30
32.0,52,99,30
33.0,56,94,30
34.0,57,104,30
35.0,59,103,30
36.0,51,102,30
37.0,47,95,31
38.0,56,106,31
39.0,59,107,31
40.0,54,103,31
41.0,46,105,39
42.0,47,106,40
43.0,55,108,40
44.0,56,104,40
45.0,57,105,40
46.0,56,106,40
47.0,56,101,40
48.0,59,103,40
49.0,57,102,40
50.0,60,101,40
51.0,59,97,40
52.0,58,100,40
53.0,60,95,40
54.0,58,103,40
55.0,57,98,40
56.0,51,95,40
57.0,51,105,40
58.0,43,94,45
59.0,38,94,46
60.0,57,97,46
61.0,56,98,53
62.0,56,102,56
63.0,60,99,56
64.0,60,94,56
65.0,60,103,54
66.0,60,96,53
67.0,58,104,53
68.0,60,102,53
69.0,60,98,53
70.0,60,94,48
71.0,58,102,46
72.0,55,100,46
73.0,50,96,40
74.0,48,106,36
75.0,47,95,36
76.0,51,106,36
77.0,52,105,36
78.0,51,107,36
79.0,46,109,36
80.0,42,98,36
81.0,42,110,36
82.0,41,115,36
83.0,42,96,36
84.0,41,98,36
85.0,43,100,36
86.0,50,117,36
87.0,51,110,36
88.0,51,117,36
89.0,51,121,36
