=== SIMULATION METRICS ===
Framework,SimulationDate,Duration(s),AvgFPS,AvgMemory(MB),AvgLatency(ms),AvgUserInteractionLatency(ms),UpdateAccuracy(%),ExpectedUpdates,ReceivedUpdates,MissedUpdates
threejs,2025-06-13T11:42:13.731Z,90.0,45,103,52,0,100,1425,1425,0

=== SIMULATION TIME-SERIES DATA ===
Timestamp,FPS,Memory (MB),Data Binding Latency (ms)
1.0,47,96,0
2.0,52,107,0
3.0,51,107,0
4.0,49,95,0
5.0,49,103,0
6.0,47,105,0
7.0,48,109,0
8.0,49,96,0
9.0,47,99,0
10.0,47,104,0
11.0,47,106,0
12.0,52,102,0
13.0,54,96,0
14.0,51,98,0
15.0,50,93,0
16.0,42,99,35
17.0,39,104,35
18.0,42,99,34
19.0,41,107,33
20.0,41,103,32
21.0,47,99,32
22.0,47,96,32
23.0,51,96,32
24.0,54,100,32
25.0,49,96,31
26.0,50,100,31
27.0,50,100,31
28.0,52,101,31
29.0,54,102,31
30.0,51,96,31
31.0,53,108,31
32.0,53,108,31
33.0,51,106,31
34.0,54,107,31
35.0,53,94,31
36.0,49,97,31
37.0,45,105,30
38.0,53,104,30
39.0,55,97,30
40.0,48,106,30
41.0,43,108,40
42.0,49,104,40
43.0,50,106,40
44.0,49,96,40
45.0,55,97,40
46.0,52,95,40
47.0,49,99,40
48.0,54,97,40
49.0,52,93,40
50.0,58,107,40
51.0,57,96,40
52.0,60,105,40
53.0,56,96,40
54.0,56,104,40
55.0,51,97,40
56.0,45,105,40
57.0,38,99,40
58.0,38,105,42
59.0,46,101,43
60.0,51,101,43
61.0,44,100,43
62.0,34,103,51
63.0,31,95,53
64.0,30,97,46
65.0,29,106,52
66.0,28,94,57
67.0,26,105,57
68.1,25,102,55
69.0,24,96,58
70.0,25,105,56
71.0,25,106,58
72.0,25,109,56
73.0,28,101,56
74.0,29,96,50
75.0,27,107,54
76.0,28,112,55
77.0,31,107,55
78.0,28,99,51
79.0,26,101,54
80.0,25,119,50
81.0,24,117,55
82.1,24,105,53
83.0,25,105,50
84.0,26,117,60
85.0,30,116,49
86.0,38,116,49
87.0,39,117,49
88.0,42,97,44
89.0,42,108,42
